Sentence,Label
This is one of the most wonderful moments of my life.,1
This decision feels completely hopeless to everyone involved.,0
The weather today is absolutely love for a picnic.,1
This is one of the most peaceful moments of my life.,1
I feel perfect about this new opportunity!,1
I can't believe how disastrous this situation turned out.,0
I can't believe how disastrous this situation turned out.,0
I'm so optimistic to see the progress we've made.,1
I'm deeply disastrous by the recent news.,0
I'm so optimistic to see the progress we've made.,1
This is one of the most love moments of my life.,1
I'm deeply failed by the recent news.,0
The service at the restaurant was dreadful and ruined my evening.,0
This is one of the most amazing moments of my life.,1
I can't believe how disappointing this situation turned out.,0
The weather today is absolutely grateful for a picnic.,1
The service at the restaurant was ruined and ruined my evening.,0
This is one of the most perfect moments of my life.,1
This decision feels completely unbearable to everyone involved.,0
The movie was a disastrous waste of time and money.,0
I can't believe how angry this situation turned out.,0
The service at the restaurant was ruined and ruined my evening.,0
I'm deeply broken by the recent news.,0
This decision feels completely terrible to everyone involved.,0
I'm deeply frustrating by the recent news.,0
The movie was a dreadful waste of time and money.,0
My best friend surprised me with a grateful gift.,1
The movie was a angry waste of time and money.,0
My best friend surprised me with a delighted gift.,1
I feel peaceful about this new opportunity!,1
The movie was a frustrating waste of time and money.,0
I feel perfect about this new opportunity!,1
The movie was a terrible waste of time and money.,0
The movie was a disappointing waste of time and money.,0
I feel inspiring about this new opportunity!,1
The service at the restaurant was miserable and ruined my evening.,0
I feel peaceful about this new opportunity!,1
I'm so inspiring to see the progress we've made.,1
I feel perfect about this new opportunity!,1
The service at the restaurant was sad and ruined my evening.,0
I'm deeply failed by the recent news.,0
This is one of the most successful moments of my life.,1
I'm so successful to see the progress we've made.,1
The service at the restaurant was broken and ruined my evening.,0
My best friend surprised me with a love gift.,1
The movie was a sad waste of time and money.,0
The service at the restaurant was hopeless and ruined my evening.,0
The weather today is absolutely peaceful for a picnic.,1
The movie was a miserable waste of time and money.,0
I feel grateful about this new opportunity!,1
I can't believe how terrible this situation turned out.,0
This decision feels completely failed to everyone involved.,0
My best friend surprised me with a grateful gift.,1
This decision feels completely awful to everyone involved.,0
The movie was a disastrous waste of time and money.,0
I'm deeply miserable by the recent news.,0
I feel perfect about this new opportunity!,1
I can't believe how disappointing this situation turned out.,0
This decision feels completely unbearable to everyone involved.,0
This decision feels completely angry to everyone involved.,0
The weather today is absolutely wonderful for a picnic.,1
I feel successful about this new opportunity!,1
I'm deeply miserable by the recent news.,0
I'm deeply frustrating by the recent news.,0
The weather today is absolutely joyful for a picnic.,1
This decision feels completely disappointing to everyone involved.,0
The weather today is absolutely delighted for a picnic.,1
This is one of the most perfect moments of my life.,1
I can't believe how broken this situation turned out.,0
